一级知识点,二级知识点,三级知识点,定义,特性/运算方式,知识点编号
1,集合与常用逻辑用语,,高中数学的基础语言工具，贯穿整个数学学习过程,为函数、不等式等后续内容奠定基础,
1.1,,集合的概念与表示,研究对象的总体,确定性、互异性、无序性,
1.1.1,,,集合的含义,元素三特性：确定性、互异性、无序性,1.1.1
1.1.2,,,集合的表示方法,列举法、描述法、区间表示法,1.1.2
1.2,,集合间的基本关系,集合之间的包含关系,子集、真子集、相等,
3.1.5,,,函数的值域求法,观察法、配方法、换元法等,多种方法综合,3.1.5
3.1.6,,,函数的表示方法,列表法、图像法、解析法,分段函数,3.1.6
3.2,,函数的基本性质,研究函数变化规律的特征,单调性、奇偶性、周期性,
3.2.1,,,函数的单调性,函数值随自变量增大而增大（减小）,增函数、减函数,3.2.1
3.2.2,,,函数的最大值与最小值,函数在定义域上的极值,求值域的核心,3.2.2
3.2.3,,,函数的奇偶性,f(-x)=f(x)为偶，f(-x)=-f(x)为奇,对称性特征,3.2.3
3.2.4,,,函数的周期性,f(x+T)=f(x)则周期为T,周期函数,3.2.4
3.3,,幂函数,y=x^α形式的函数,特殊的初等函数,
3.3.1,,,幂函数的定义,y=x^α(α为常数),基本初等函数之一,3.3.1
3.3.2,,,幂函数的性质,α>0过原点递增，α<0不过原点递减,奇偶性判断,3.3.2
4,指数函数与对数函数,,重要的初等函数模型,描述增长和衰减现象,
4.1,,指数,指数运算的扩展,根式、分数指数幂,
4.1.1,,,根式,n次方根的概念,根式性质(ⁿ√a)ⁿ=a,4.1.1
4.1.2,,,分数指数幂,a^(m/n)=ⁿ√(a^m),指数范围扩充,4.1.2
4.1.3,,,有理数指数幂的运算性质,同底数幂相乘、幂的乘方,指数运算法则,4.1.3
4.2,,指数函数,"y=a^x(a>0,a≠1)",描述指数增长/衰减,
4.2.1,,,指数函数的定义,指数在变量位置的函数,a>0且a≠1的限制,4.2.1
4.2.2,,,指数函数的图像与性质,a>1递增，0<a<1递减,"过定点(0,1)",4.2.2
4.2.3,,,指数函数的简单应用,增长模型、衰减模型,实际问题建模,4.2.3
4.3,,对数,指数的逆运算,简化复杂计算,
4.3.1,,,对数的概念,a^x=N⇔x=logₐN,指对互化,4.3.1
4.3.2,,,对数的运算性质,积变和、商变差、幂变积,logₐ(MN)=logₐM+logₐN,4.3.2
4.3.3,,,换底公式,logₐb=log_c b/log_c a,常用对数、自然对数,4.3.3
4.4,,对数函数,"y=logₐx(a>0,a≠1)",指数函数的反函数,
4.4.1,,,对数函数的定义,对数在变量位置的函数,"定义域(0,+∞)",4.4.1
4.4.2,,,对数函数的图像与性质,a>1递增，0<a<1递减,"过定点(1,0)",4.4.2
4.4.3,,,反函数,原函数与反函数互逆,图像关于y=x对称,4.4.3
4.5,,函数的零点与方程的解,函数与方程的联系,数形结合思想,
4.5.1,,,函数的零点,f(x)=0的解,函数图像与x轴交点,4.5.1
4.5.2,,,二分法,逐步逼近零点的方法,零点存在定理应用,4.5.2
5,三角函数,,描述周期现象的数学模型,物理、工程中的重要工具,
5.1,,任意角和弧度制,角的概念推广,从静态到动态,
5.1.1,,,角的概念的推广,正角、负角、零角,旋转形成的角,5.1.1
5.1.2,,,象限角,终边在象限内的角,终边相同的角,5.1.2
5.1.3,,,弧度制,弧长等于半径的圆心角为1弧度,角度与弧度换算,5.1.3
5.2,,三角函数的概念,用比值定义的函数,单位圆定义,
5.2.1,,,三角函数的定义,"sinα=y, cosα=x, tanα=y/x",单位圆定义,5.2.1
5.2.2,,,三角函数值的符号,一全正二正弦三正切四余弦,象限符号规律,5.2.2
5.2.3,,,诱导公式一,终边相同的角三角函数值相等,周期性基础,5.2.3
5.2.4,,,同角三角函数的基本关系,"sin²α+cos²α=1, tanα=sinα/cosα",知一求二,5.2.4
5.3,,诱导公式,将任意角化为锐角,化简求值的重要工具,
5.3.1,,,诱导公式体系,奇变偶不变符号看象限,五组诱导公式,5.3.1
5.3.2,,,五组诱导公式,"π±α, -α, π/2±α的公式",化简任意角,5.3.2
5.3.3,,,诱导公式的应用,化简、求值、证明,负角化正角大角化小角,5.3.3
5.4,,三角函数的图像与性质,周期性函数的图像特征,五点作图法,
5.4.1,,,正弦函数的图像与性质,波形曲线，周期2π,奇函数,5.4.1
5.4.2,,,余弦函数的图像与性质,波形曲线，周期2π,偶函数,5.4.2
5.4.3,,,正切函数的图像与性质,在每个周期内递增,周期π,5.4.3
5.4.4,,,函数y=Asin(ωx+φ)的图像,振幅变换、周期变换、相位变换,图像变换规律,5.4.4
5.4.5,,,三角函数的应用,简谐运动、波动问题,数学建模,5.4.5
